date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:45:53	21976/21976	---M-Z	200	added ('OK')	text/html	etag:%2255d8-5a69c1462957f-gzip%22	https://themesdesign.in/appzia/maps-google.html	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/maps-google.html	(from https://themesdesign.in/appzia/index.html)
12:45:53	23021/23021	---M-Z	200	added ('OK')	text/html	etag:%2259ed-5a69c1462957f-gzip%22	https://themesdesign.in/appzia/maps-vector.html	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/maps-vector.html	(from https://themesdesign.in/appzia/index.html)
12:45:54	22495/22495	---M-Z	200	added ('OK')	text/html	etag:%2257df-5a69c1462763f-gzip%22	https://themesdesign.in/appzia/calendar.html	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/calendar.html	(from https://themesdesign.in/appzia/index.html)
12:45:54	20159/20159	---M-Z	200	added ('OK')	text/html	etag:%224ebf-5a69c146285df-gzip%22	https://themesdesign.in/appzia/layouts-collapse.html	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/layouts-collapse.html	(from https://themesdesign.in/appzia/index.html)
12:45:54	20127/20127	---M-Z	200	added ('OK')	text/html	etag:%224e9f-5a69c146285df-gzip%22	https://themesdesign.in/appzia/layouts-smallmenu.html	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/layouts-smallmenu.html	(from https://themesdesign.in/appzia/index.html)
12:45:54	20134/20134	---M-Z	200	added ('OK')	text/html	etag:%224ea6-5a69c146285df-gzip%22	https://themesdesign.in/appzia/layouts-menu2.html	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/layouts-menu2.html	(from https://themesdesign.in/appzia/index.html)
12:45:55	4003/4003	---M-Z	200	added ('OK')	text/html	etag:%22fa3-5a69c1462957f-gzip%22	https://themesdesign.in/appzia/pages-login.html	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/pages-login.html	(from https://themesdesign.in/appzia/index.html)
12:45:55	4150/4150	---M-Z	200	added ('OK')	text/html	etag:%221036-5a69c1462957f-gzip%22	https://themesdesign.in/appzia/pages-register.html	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/pages-register.html	(from https://themesdesign.in/appzia/index.html)
12:45:55	3150/3150	---M-Z	200	added ('OK')	text/html	etag:%22c4e-5a69c1462957f-gzip%22	https://themesdesign.in/appzia/pages-recoverpw.html	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/pages-recoverpw.html	(from https://themesdesign.in/appzia/index.html)
12:45:55	3184/3184	---M-Z	200	added ('OK')	text/html	etag:%22c70-5a69c1462957f-gzip%22	https://themesdesign.in/appzia/pages-lock-screen.html	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/pages-lock-screen.html	(from https://themesdesign.in/appzia/index.html)
12:45:55	20132/20132	---M-Z	200	added ('OK')	text/html	etag:%224ea4-5a69c1462957f-gzip%22	https://themesdesign.in/appzia/pages-blank.html	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/pages-blank.html	(from https://themesdesign.in/appzia/index.html)
12:45:56	1929/1929	---M-Z	200	added ('OK')	text/html	etag:%22789-5a69c1462957f-gzip%22	https://themesdesign.in/appzia/pages-404.html	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/pages-404.html	(from https://themesdesign.in/appzia/index.html)
12:45:56	1929/1929	---M-Z	200	added ('OK')	text/html	etag:%22789-5a69c1462957f-gzip%22	https://themesdesign.in/appzia/pages-500.html	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/pages-500.html	(from https://themesdesign.in/appzia/index.html)
12:45:57	27966/27966	---M-Z	200	added ('OK')	text/html	etag:%226d3e-5a69c1462957f-gzip%22	https://themesdesign.in/appzia/pages-timeline.html	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/pages-timeline.html	(from https://themesdesign.in/appzia/index.html)
12:45:57	30308/30308	---M-Z	200	added ('OK')	text/html	etag:%227664-5a69c1462957f-gzip%22	https://themesdesign.in/appzia/pages-invoice.html	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/pages-invoice.html	(from https://themesdesign.in/appzia/index.html)
12:45:57	49797/49797	---M-Z	200	added ('OK')	text/html	etag:%22c285-5a69c1462957f-gzip%22	https://themesdesign.in/appzia/pages-directory.html	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/pages-directory.html	(from https://themesdesign.in/appzia/index.html)
12:45:57	95786/95786	---M-Z	200	added ('OK')	application/javascript	etag:%221762a-5a69c14619b7e-gzip%22	https://themesdesign.in/appzia/assets/js/jquery.min.js	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/assets/js/jquery.min.js	(from https://themesdesign.in/appzia/index.html)
12:45:58	19033/19033	---M-Z	200	added ('OK')	application/javascript	etag:%224a59-5a69c1461babe-gzip%22	https://themesdesign.in/appzia/assets/js/popper.min.js	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/assets/js/popper.min.js	(from https://themesdesign.in/appzia/index.html)
12:45:58	50731/50731	---M-Z	200	added ('OK')	application/javascript	etag:%22c62b-5a69c14619b7e-gzip%22	https://themesdesign.in/appzia/assets/js/bootstrap.min.js	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/assets/js/bootstrap.min.js	(from https://themesdesign.in/appzia/index.html)
12:45:58	11084/11084	---M-Z	200	added ('OK')	application/javascript	etag:%222b4c-5a69c1461babe-gzip%22	https://themesdesign.in/appzia/assets/js/modernizr.min.js	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/assets/js/modernizr.min.js	(from https://themesdesign.in/appzia/index.html)
12:45:58	2219/2219	---M-Z	200	added ('OK')	application/javascript	etag:%228ab-5a69c14619b7e-gzip%22	https://themesdesign.in/appzia/assets/js/detect.js	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/assets/js/detect.js	(from https://themesdesign.in/appzia/index.html)
12:45:58	25965/25965	---M-Z	200	added ('OK')	application/javascript	etag:%22656d-5a69c14619b7e-gzip%22	https://themesdesign.in/appzia/assets/js/fastclick.js	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/assets/js/fastclick.js	(from https://themesdesign.in/appzia/index.html)
12:45:58	13659/13659	---M-Z	200	added ('OK')	application/javascript	etag:%22355b-5a69c1461babe-gzip%22	https://themesdesign.in/appzia/assets/js/jquery.slimscroll.js	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/assets/js/jquery.slimscroll.js	(from https://themesdesign.in/appzia/index.html)
12:45:59	19966/19966	---M-Z	200	added ('OK')	application/javascript	etag:%224dfe-5a69c14619b7e-gzip%22	https://themesdesign.in/appzia/assets/js/jquery.blockUI.js	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/assets/js/jquery.blockUI.js	(from https://themesdesign.in/appzia/index.html)
12:45:59	4776/4776	---M-Z	200	added ('OK')	application/javascript	etag:%2212a8-5a69c1461babe-gzip%22	https://themesdesign.in/appzia/assets/js/wow.min.js	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/assets/js/wow.min.js	(from https://themesdesign.in/appzia/index.html)
12:45:59	69263/69263	---M-Z	200	added ('OK')	application/javascript	etag:%2210e8f-5a69c1461babe-gzip%22	https://themesdesign.in/appzia/assets/js/waves.js	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/assets/js/waves.js	(from https://themesdesign.in/appzia/index.html)
12:45:59	59364/59364	---M-Z	200	added ('OK')	application/javascript	etag:%22e7e4-5a69c1461babe-gzip%22	https://themesdesign.in/appzia/assets/js/jquery.nicescroll.js	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/assets/js/jquery.nicescroll.js	(from https://themesdesign.in/appzia/index.html)
12:46:00	2434/2434	---M-Z	200	added ('OK')	application/javascript	etag:%22982-5a69c1461babe-gzip%22	https://themesdesign.in/appzia/assets/js/jquery.scrollTo.min.js	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/assets/js/jquery.scrollTo.min.js	(from https://themesdesign.in/appzia/index.html)
12:46:00	35652/35652	---M-Z	200	added ('OK')	application/javascript	etag:%228b44-5a69c146256ff-gzip%22	https://themesdesign.in/appzia/assets/plugins/morris/morris.min.js	C:/Users/apoor/OneDrive/Documents/GitHub/login%20page/themesdesign.in/appzia/assets/plugins/morris/morris.min.js	(from https://themesdesign.in/appzia/index.html)
